product_id,name,category,price,stock
4f84e9dc-0ff3-4e82-9b10-7c79505fa62e,Smart TV 419,eletrônicos,2746.84,60
acd44e2d-2d12-42b0-847d-14ff2496201d,Tênis 743,moda,172.73,137
df52d1ec-c342-45f9-a950-9466a78f7aa1,Smart TV 204,eletrônicos,4989.27,78
cb35d894-3a5a-4667-bd8c-82db6d0e01e8,Sofá 220,casa,-2925.26,56
1d0cbba8-708a-413e-83cd-9c5d83d0fc21,Cadeira 108,casa,323.29,99
b96bec2f-781c-4ae6-9583-24b5f811ab85,Notebook 195,eletrônicos,2028.65,49
dd54e61b-2a1e-4219-839b-cb1b754f01e3,Caixa de Som 706,eletrônicos,598.68,97
13d6417a-ad90-4eca-9a60-cec37bd9ffe0,Autoajuda 462,livros,80.69,98
b69374fe-ba51-4152-b7db-721805204eef,Bola 119,esportes,66.35,58
ef87697c-25fe-408c-a3d4-a0201dd391cb,Bicicleta 848,esportes,1865.46,30
efa630b2-db60-46ab-bd14-7214bd13f921,Sofá 649,casa,1134.46,65
eb3adc60-3173-444a-8f4a-e1442a0ffe42,Mochila 499,esportes,157.08,10
1dfd04c4-3caa-41ce-9164-5e122948e4c3,Camiseta 959,moda,106.46,75
3670995a-4562-4c7b-b37d-361b4b588845,Livro Técnico 325,livros,133.16,126
73002011-0b4c-4398-972c-3b989d12a548,Smartphone 514,eletrônicos,3723.09,88
c644c7de-05a2-4926-bc8f-7d27801075c8,Lâmpada 512,casa,18.86,125
ace0b81a-5b89-4d76-acb2-37d7ca0f522e,Boné 336,moda,59.92,88
654c1c62-ef89-4c67-8cd9-5218ee60eb9a,Camiseta 873,moda,76.58,66
c96a127d-06fe-42bf-aac9-d413ec553cc3,Sofá 339,casa,2661.72,76
8fcee226-e7da-4f43-b7b5-ba22b4a1dea6,Fone Bluetooth 922,eletrônicos,650.09,45
cbecaf38-d7a3-4a84-8820-23eccbec61d1,Livro Técnico 462,livros,66.85,89
cc4897b2-4364-478c-9bad-1e735812633b,Bola 555,esportes,61.02,74
a32e1ba3-682d-494e-be3b-11c68b999992,Notebook 355,eletrônicos,5996.36,118
c7ea924c-f54d-43ad-b0d3-9a47d859eb9e,Bola 815,esportes,146.07,77
40c776fc-28db-4acb-9555-dbdaebc0d937,Notebook 396,eletrônicos,4543.74,67
6ba83a39-88b5-40d0-8f99-0829a6c70a31,Liquidificador 106,casa,200.14,118
ab2ac8fe-3f3d-46da-a286-71918c61c88b,Tênis de Corrida 484,esportes,347.52,133
2a105df3-21eb-46d7-9109-bd26b9d7d6ee,Camiseta 719,moda,57.73,53
f66bbe0c-a428-4d39-b1bc-ff4168af0ae6,Smart TV 921,eletrônicos,1665.98,108
733714b6-5d73-46e7-97c9-bbfb74bc8875,Camiseta 203,moda,84.24,43
c464d280-765e-47be-9f97-07be0981104b,Panela 526,casa,224.93,95
ef640430-464e-4eb1-8129-bdd3c46f7f98,Livro Técnico 849,livros,62.42,65
9feee9c3-d9e1-44aa-927e-e210649930d1,Boné 367,moda,61.24,135
d6857a6f-0863-4680-b5e1-86a9ba1567c1,Cadeira 773,casa,244.71,150
cc47feaa-1c20-416f-9450-971c5873b898,Romance 815,livros,39.24,75
64cdaf5f-065d-493b-bb3e-1c5fef98d694,Tênis 147,moda,266.3,23
1d112075-7558-4be9-ae98-06a5d6ff936c,Cadeira 650,casa,459.47,138
2c30072f-88a3-42b9-928e-e9416af3e857,Sofá 984,casa,1429.97,119
d8619889-796d-40e2-9ef2-85e711f05bfc,Cadeira 872,casa,595.06,80
1d252952-0f3d-4727-ab91-7699b75a3d93,Fone Bluetooth 266,eletrônicos,524.77,134
f80dc14f-3e25-434c-9e6a-3edea1a59325,Cadeira 863,casa,325.2,105
b3984eb4-5dff-48e1-83ae-218375c312be,Cadeira 563,casa,311.44,144
5c8a3542-c66a-434d-a889-06cc0a27d194,Smart TV 240,eletrônicos,3385.23,34
dfd51442-a3a1-4f91-9120-6ce9be94627e,Romance 976,livros,37.0,28
0adedfe3-201a-400f-8e49-e9d72628af4d,Romance 276,livros,42.42,58
ee0d474e-6395-4c61-8085-7cb3b3fee707,Romance 509,livros,78.71,122
636f587c-30eb-47c0-80e2-ba0f94a49f45,Jaqueta 200,moda,336.88,7
0c00457f-ef3c-404d-8238-5a02196717d6,Fone Bluetooth 163,eletrônicos,434.02,7
4e1898af-a5cc-42f2-aff7-99d005db483b,Tênis de Corrida 848,esportes,223.82,132
166eb6d6-268c-484a-a4fe-7175adfbf52e,Tênis 844,moda,399.5,92
d91ff14a-b46a-4ec4-b8fe-9373c1f4a56f,Liquidificador 589,casa,206.99,34
72809862-d45e-4955-b094-f4c88694bd3d,Jaqueta 173,moda,392.3,13
8ef0a09b-700a-4eb2-8d0a-625d82fc551a,Livro Técnico 647,livros,71.21,118
114f34de-e587-48b1-a725-4b0658ad9a20,Sofá 356,casa,1623.33,24
bba0f0c2-6501-4088-9def-969d7fadb378,Infantil 713,livros,25.17,56
